z_grid,area,stage,type,sample_id
1048.497231466344,29539.45479055166,HH17,individual,sample_2
1061.1297282309988,29296.43201527505,HH17,individual,sample_2
1073.7622249956535,29134.12617082961,HH17,individual,sample_2
1086.3947217603081,29462.987607671483,HH17,individual,sample_2
1099.027218524963,29791.849044513358,HH17,individual,sample_2
1111.6597152896177,30120.71048135523,HH17,individual,sample_2
1124.2922120542723,30534.703566123866,HH17,individual,sample_2
1136.9247088189272,31712.808559990335,HH17,individual,sample_2
1149.557205583582,32890.91355385678,HH17,individual,sample_2
1162.1897023482366,34069.01854772323,HH17,individual,sample_2
1174.8221991128914,35302.53482022453,HH17,individual,sample_2
1187.454695877546,37414.33695228859,HH17,individual,sample_2
1200.087192642201,39526.13908435269,HH17,individual,sample_2
1212.7196894068557,41637.941216416744,HH17,individual,sample_2
1225.3521861715103,43749.96453003663,HH17,individual,sample_2
1237.9846829361652,45873.756057866034,HH17,individual,sample_2
1250.6171797008199,47997.547585695385,HH17,individual,sample_2
1263.2496764654747,50121.33911352478,HH17,individual,sample_2
1275.8821732301294,52245.13064135414,HH17,individual,sample_2
1288.514669994784,53840.18890740458,HH17,individual,sample_2
1301.147166759439,55423.104565766145,HH17,individual,sample_2
1313.7796635240936,57006.02022412768,HH17,individual,sample_2
1326.4121602887483,58588.93588248921,HH17,individual,sample_2
1339.0446570534032,59578.64843091018,HH17,individual,sample_2
1351.6771538180578,60528.24131597186,HH17,individual,sample_2
1364.3096505827125,61477.834201033555,HH17,individual,sample_2
1376.9421473473674,62427.42708609525,HH17,individual,sample_2
1389.574644112022,62886.87975345916,HH17,individual,sample_2
1402.207140876677,63289.29098265232,HH17,individual,sample_2
1414.8396376413316,63691.70221184547,HH17,individual,sample_2
1427.4721344059863,64094.11344103862,HH17,individual,sample_2
1440.1046311706411,63712.78786946946,HH17,individual,sample_2
1452.7371279352958,63198.3935837623,HH17,individual,sample_2
1465.3696246999507,62683.99929805513,HH17,individual,sample_2
1478.0021214646054,62169.60501234797,HH17,individual,sample_2
1490.63461822926,60760.0874751102,HH17,individual,sample_2
1503.267114993915,59145.97659414617,HH17,individual,sample_2
1515.8996117585696,57531.86571318216,HH17,individual,sample_2
1528.5321085232242,55917.75483221815,HH17,individual,sample_2
1541.164605287879,54169.51570141009,HH17,individual,sample_2
1553.7971020525338,52381.90182139177,HH17,individual,sample_2
1566.4295988171884,50594.287941373455,HH17,individual,sample_2
1579.0620955818433,48806.67406135511,HH17,individual,sample_2
1591.694592346498,47506.92011863373,HH17,individual,sample_2
1604.3270891111529,46385.633980824765,HH17,individual,sample_2
1616.9595858758075,45264.34784301583,HH17,individual,sample_2
1629.5920826404622,44143.061705206885,HH17,individual,sample_2
1642.224579405117,43636.4371049258,HH17,individual,sample_2
1654.8570761697717,43404.33573671344,HH17,individual,sample_2
1667.4895729344266,43172.23436850107,HH17,individual,sample_2
1680.1220696990813,42940.13300028871,HH17,individual,sample_2
1692.754566463736,43141.655494098966,HH17,individual,sample_2
1705.3870632283908,43576.292195809925,HH17,individual,sample_2
1718.0195599930455,44010.928897520884,HH17,individual,sample_2
1730.6520567577002,44445.56559923184,HH17,individual,sample_2
1743.284553522355,45099.351242266086,HH17,individual,sample_2
1755.9170502870097,45893.562016891934,HH17,individual,sample_2
1768.5495470516644,46687.77279151779,HH17,individual,sample_2
1781.1820438163193,47481.98356614365,HH17,individual,sample_2
1793.814540580974,48402.11874581323,HH17,individual,sample_2
1806.4470373456288,49417.80510511862,HH17,individual,sample_2
1819.0795341102835,50433.49146442399,HH17,individual,sample_2
1831.7120308749381,51449.177823729355,HH17,individual,sample_2
1844.344527639593,52451.62732951919,HH17,individual,sample_2
1856.9770244042477,53442.22831419119,HH17,individual,sample_2
1869.6095211689026,54432.8292988632,HH17,individual,sample_2
1882.2420179335572,55423.43028353519,HH17,individual,sample_2
1894.874514698212,56274.691875944874,HH17,individual,sample_2
1907.5070114628668,56979.04226233562,HH17,individual,sample_2
1920.1395082275214,57683.39264872635,HH17,individual,sample_2
1932.772004992176,58387.74303511709,HH17,individual,sample_2
1945.404501756831,58963.70277378012,HH17,individual,sample_2
1958.0369985214857,59380.10179532748,HH17,individual,sample_2
1970.6694952861403,59796.50081687484,HH17,individual,sample_2
1983.3019920507952,60212.89983842221,HH17,individual,sample_2
1995.9344888154499,60763.45367280884,HH17,individual,sample_2
2008.5669855801048,61511.11700929561,HH17,individual,sample_2
2021.1994823447594,62258.78034578236,HH17,individual,sample_2
2033.831979109414,63006.44368226912,HH17,individual,sample_2
2046.464475874069,64020.90377089517,HH17,individual,sample_2
2059.096972638724,65501.363832429364,HH17,individual,sample_2
2071.7294694033785,66981.82389396352,HH17,individual,sample_2
2084.361966168033,68462.2839554977,HH17,individual,sample_2
2096.994462932688,70119.76163084715,HH17,individual,sample_2
2109.6269596973425,72147.95492476245,HH17,individual,sample_2
2122.2594564619976,74176.14821867782,HH17,individual,sample_2
2134.8919532266523,76204.3415125931,HH17,individual,sample_2
2147.524449991307,78282.9863410888,HH17,individual,sample_2
2160.1569467559616,80489.90568297557,HH17,individual,sample_2
2172.7894435206163,82696.82502486234,HH17,individual,sample_2
2185.421940285271,84903.74436674912,HH17,individual,sample_2
2198.054437049926,86934.4956560757,HH17,individual,sample_2
2210.6869338145807,88411.59668386655,HH17,individual,sample_2
2223.3194305792354,89888.6977116574,HH17,individual,sample_2
2235.95192734389,91365.79873944823,HH17,individual,sample_2
2248.5844241085447,92459.91340078873,HH17,individual,sample_2
2261.2169208732,92026.74538024637,HH17,individual,sample_2
2273.8494176378545,91593.57735970402,HH17,individual,sample_2
2286.481914402509,91160.40933916169,HH17,individual,sample_2
2299.114411167164,90361.19653572427,HH17,individual,sample_2
2311.7469079318184,87634.37378342845,HH17,individual,sample_2
2324.379404696473,84907.55103113264,HH17,individual,sample_2
2337.011901461128,82180.72827883672,HH17,individual,sample_2
2349.644398225783,79177.99970598191,HH17,individual,sample_2
2362.2768949904375,74126.62785993863,HH17,individual,sample_2
2374.909391755092,69075.25601389534,HH17,individual,sample_2
2387.541888519747,64023.88416785205,HH17,individual,sample_2
2400.174385284402,58728.38717059497,HH17,individual,sample_2
2412.8068820490566,50538.925690811106,HH17,individual,sample_2
2425.4393788137113,42349.46421102724,HH17,individual,sample_2
2438.071875578366,34160.00273124338,HH17,individual,sample_2
2450.7043723430206,26272.701237998568,HH17,individual,sample_2
2463.3368691076757,26272.701237998568,HH17,individual,sample_2
2475.9693658723304,26272.701237998568,HH17,individual,sample_2
2488.601862636985,26272.701237998568,HH17,individual,sample_2
2501.2343594016397,26272.701237998568,HH17,individual,sample_2
2513.8668561662944,26272.701237998568,HH17,individual,sample_2
0.0,3876.1978959333264,HH17,mean,mean
12.632496764654746,5984.377441321081,HH17,mean,mean
25.264993529309493,8092.556986708837,HH17,mean,mean
