stage,timepoint,radius,norm_height,angle_degrees,thickness,phh3,Curvature,Gauss_Curvature,Mean_Curvature,K1,K2
hh17,2025-09-18-13-02,157.71305183674275,0.971277262170418,128.9976735536202,42.97664586686007,76.56474,1.607530433290243e-05,2.15966000422694e-05,0.0049202544705357,0.0065957707777847,0.0032447381632867
hh17,2025-09-18-13-02,189.4465806851757,0.9547465209305764,139.71168934558807,38.62757772614808,73.37758,1.4339273470871009e-05,1.7890439350472016e-05,0.0046389713491185,0.0065521727813103,0.0027257699169267
hh17,2025-09-18-13-02,235.88105765069017,0.9456188384230916,171.3047198370141,31.38222368436394,45.7301,1.0903713957959766e-05,1.515747637442012e-05,0.0045152608233731,0.0068296782327076,0.0022008434140386
hh17,2025-09-18-13-02,125.15643162840702,0.013955799053155,-147.6707490641874,167.42111148534104,52.645424,2.2049052389069132e-05,-1.3905312048615356e-06,0.0008350108974532,0.0025639495823291,-0.0008939277874226
hh17,2025-09-18-13-02,138.73602122730972,0.0225259181872078,-167.76169341881484,175.32736556324318,50.34737,2.088491890225139e-05,-2.3765795394573968e-06,-7.446252722719649e-05,0.0018157332291393,-0.0019646582835937
hh17,2025-09-18-13-02,120.75622591674556,0.9853279048703374,112.40185012440897,41.24558074688943,70.57247,2.630779481065232e-05,3.421670370091014e-05,0.0059836254687958,0.0074825580877991,0.0044846928497924
hh17,2025-09-18-13-02,211.51896042401975,0.8991689815661796,137.09312860534567,36.5863517077393,56.629894,8.760549218697479e-06,5.412220077364009e-06,0.0024841512426003,0.0036919617158798,0.0012763407693209
hh17,2025-09-18-13-02,150.97067373411235,0.8708940001741529,105.81599378806855,39.69489146779986,72.1479,3.5874638487564734e-06,-1.1091304200129434e-06,0.0012448405035292,0.0029100216266158,-0.0004203406195573
hh17,2025-09-18-13-02,216.7626164030762,0.8798640541398453,35.24478438352432,34.961706059363635,66.567726,2.849962557075143e-05,-6.852144760108751e-06,0.0039183013660278,0.0085925290383007,-0.000755926306245
hh17,2025-09-18-13-02,240.5194034658577,0.8251075538757413,27.636453476775444,40.96151590089161,62.418877,2.912386998113065e-05,1.0646441928917673e-05,0.0057483922885833,0.0105294265243321,0.0009673580528345
hh17,2025-09-18-13-02,180.8560852447603,0.7736300318771362,60.32899665321102,56.16620211158448,74.85305,6.637260075541878e-06,-3.391352076810469e-06,0.0037676849770838,0.0079500231467739,-0.0004146531926062
hh17,2025-09-18-13-02,162.85076124203238,0.7773959833430036,78.81499820283722,61.72164432243597,80.81618,3.3414292766356057e-06,-3.484392108325258e-06,0.0025862640175289,0.0058133697582896,-0.0006408417232317
hh17,2025-09-18-13-02,168.62764972155156,0.7440092682536612,96.63163009235478,63.74555334457208,74.276474,3.481179893271072e-06,-9.034967796607788e-07,0.0028472820655263,0.0058960289642987,-0.000201464833246
hh17,2025-09-18-13-02,235.48033214272775,0.6904327737304344,55.842801910731055,56.9064536578782,64.826385,1.4027600535046263e-05,1.2426180126625691e-05,0.0041393165489305,0.0061470206685266,0.0021316124293343
hh17,2025-09-18-13-02,93.39007697913294,0.0080703909671382,166.55999737443517,75.96072246553175,90.43903,6.627883006097502e-05,-6.966711984998669e-06,0.0016928629162586,0.0049774095278637,-0.0015916836953464
hh17,2025-09-18-13-02,184.6621150161423,0.9028810956508648,126.8041425044796,35.04194155378568,65.365135,6.025461526726132e-06,4.560589818078754e-06,0.0022137290878033,0.0033553310904644,0.0010721270851422
hh17,2025-09-18-13-02,223.8397498695382,0.8938680936187131,147.21057309953255,39.27294366798063,55.475418,6.017361730046367e-06,5.781896977686827e-06,0.0027253465137262,0.0042121691854711,0.0012385238419814
hh17,2025-09-18-13-02,200.21553611676592,0.7592986276150966,47.34866505116568,55.306686206445576,66.29732,1.2351862613804787e-05,-1.8467098973308816e-06,0.004361821999365,0.0088464194829384,-0.0001227754842083
hh17,2025-09-18-13-02,220.33928149653923,0.7393445295033608,39.94482417717637,53.85172272010389,57.753544,1.6428027252324115e-05,9.341020013493347e-06,0.0046577188228862,0.0080668431479375,0.001248594497835
hh17,2025-09-18-13-02,116.60851432751576,0.0132366473871222,-176.97518698445393,98.70601505268178,88.5582,4.681963496066495e-05,-7.1869303738550464e-06,0.001391789289958,0.0045596810711186,-0.0017761024912024
hh17,2025-09-18-13-02,123.90119256479996,0.0240969112458788,-165.44462041713808,139.98864792356525,66.52885,1.7129640030972826e-05,-2.3295745256462577e-06,7.459619641429217e-05,0.001735349202106,-0.0015861568092774
hh17,2025-09-18-13-02,123.85312512051236,0.9879646420143496,39.093259162257,33.45388514787168,53.64355,4.388185133552519e-05,4.651659752536405e-05,0.0071714880081222,0.0094415769466809,0.0049013990695636
hh17,2025-09-18-13-02,237.13703137131347,0.9257137803021358,25.967345491265803,34.79106896834966,57.550407,3.624920348240165e-05,8.829081705070957e-06,0.0044679921646573,0.007963834119098,0.0009721502102165
hh17,2025-09-18-13-02,231.04427986046255,0.9030808346195226,25.68343443877805,34.870527810673074,59.64323,3.831863680952942e-05,-3.70956715866336e-06,0.0038646410780812,0.0082083314808354,-0.0004790493246729
hh17,2025-09-18-13-02,174.51533297438726,0.7110482263762123,110.2632668617802,62.90082448207002,69.371124,4.831036337992135e-06,-1.73450081539646e-06,0.0022316017611413,0.004832595244742,-0.0003693917224593
hh17,2025-09-18-13-02,178.8701359002809,0.6665787779668347,90.08606943860052,62.59644745242233,69.42364,7.323329179151088e-06,-2.838431817638096e-06,0.0027456210685409,0.0057415994722107,-0.0002503573351288
hh17,2025-09-18-13-02,251.2155004637476,0.9034237338097116,155.8366117233378,42.23538244470548,53.255722,4.5306198103986975e-06,9.26914738466042e-06,0.0036211204923303,0.0056722918366716,0.001569949147989
